text,sentimen
twitteran dulu sambil menunggu jam 3 untuk kuliah online mata kuliah 'komunikasi massa' senang nya,Positive
Besok kuliah online.. saya senang sekali.. bisa balik kampung.. :D,Positive
"masih mengharap kuliah online.. ayolah pak dekan yg terhormat kita ikut SK rektor itu, bapak senang kami pun lebih senang, ",Positive
Senang nya kuliah online kuliah sambil tidur di atas kasur ,Positive
"hikmah dibalik pandemi dan kuliah online adalah IPK yg bagus, bersyukur bgt :)",Positive
hikmah kuliah online : ga perlu beli jam tangan lg alias siapa sih yg mau pakai jam di rumah,Positive
"hikmah dibalik kuliah online terus terusan adalah dosen luluh, nilai membaik",Positive
"Hikmah besar dr pandemi, ada gerakan demokratis pengetahuan berwujud forum2 online bermutu seperti kuliah Prof @sociotalker
 ini, yg sebelumnya mungkin tidak smua orang bisa mudah mngakses. Kombinasi teknologi dan politik dalam wujudnya yg paling baik. Thanks Prof",Positive
"Jadi hikmah yg bisa saya petik dari kuliah online adalah, melahirkan youtuber youtuber next generation, menjadikan tulisan tangan mahasiswanya lebih baik dan bisa menulis lebih cepat",Positive
Hikmah kuliah online Jadi bisa masak :)),Positive
"aku semakin menghargai waktu, tiap detik itu berarti banget untuk sebuah deadline tugas",Positive
Salah satu dampak positif jadi Kupu2 adalah saat harus kuliah online tak kangen kampus :),Positive
"Kalau gue jujur lebih ke arah positif. Gue lebih irit dan punya waktu tidur lebih banyak. Lebih produktif karena bisa mengurus dan mengembangkan bisnis, mengembangkan skill. ",Positive
Karena mungkin gue tipe orang yang lebih cocok kuliah online deh. Karena gue tidak bisa sehari/seminggu/sebulan hanya fokus sama satu hal. Harus produktif  dan coba banyak hal. ,Positive
positif kayak lebih fleksibel dan bisa kuliah sambil ngelakuin hal lain.,Positive
dampak positif kuliah online bagi gue lebih dekat sama keluarga,Positive
nilai dan ipk aku naik dan bagus,Positive
Positif nya punya banyak waktu luang ,Positive
positif nya uas sama uts bisa sambil buka google,Positive
Enak banget kuliah online bisa kuliah sambil rebahan,Positive
"enak dong kau ambil  duanya kuliah + jualan online, kau cari produk jual yang sekiranya anak kuliah banyak yang beli, bapak kau bakal bangga  ",Positive
"merasa hidup enak banget Tidur di kamar Ac hidup Ada wifi Main hp sampai bosan Kuliah online Kalau mau makan tinggal teriak, “ MAKAN” Minuman tinggal sedia. ",Positive
kuliah pagi tak perlu mandi,Positive
"memang enak kuliah online kalau buat rebahan , gue zoom sambil makan, sambil lanjut tidur lagi, absen tinggal komen doang di classroom, .",Positive
 aku suka banget kelas online dan aku suka sama Ibu ini enak banget kelas nya bisa di tonton ulang dong!!!,Positive
aku kuliah nyaris satu semester sistem nya online. Enak sih bisa rebahan sambil lihat laptop.,Positive
enak sih kuliah online tuh lebih fleksibel.,Positive
Kuliah online pagi ini tetap semangat ya ,Positive
Tetap Semangat untuk yang masih belajar online,Positive
"yang masih kuliah online  semangat, yang lagi pendaftaran semangat. Pokok nya semangat buat semuanya  ",Positive
"PAGI!! SEMANGAT SEKOLAH ONLINE, KULIAH ONLINE, UTBK, KERJA, DAN REBAHAN!!",Positive
"yang hari ini sekolah online, kerja, kuliah online semangat ya",Positive
"Buat adek yang sekolah dan kuliah online, semoga koneksi pengajar dan muridnya tetap lancar, tetap seru, tetap maksimal belajarnya. Semangat!",Positive
"Selama ipk masih tiga itu sudah bagus, sekali kamu terjatuh ambil hikmah nya masih bisa ditingkatkan,Semangat, apalagi sekarang masih kuliah online",Positive
semangat untuk sekolah online dan kuliah online,Positive
Yang baru mau masuk kuliah tahun ini. Semangat ya. Semangat kuliah online ..,Positive
lagi semangat banget kuliah online :),Positive
semangat  UAS nya. kuliah online terakhir di semester enam :),Positive
"terima kasih, kuliah online. nilai tugas aku jadi bagus",Positive
"senang itu lihat hasil IPk semester ini
Padahal hanya kuliah online 
Alhamdulillah Banget pokoknya",Positive
 mantap kuliah sambil rebahan pakai baju tidur  tak perlu mandi kuliah online dong,Positive
Lebih senang kuliah online sebenarnya. tekanan nya tidak terlalu kejam.,Positive
terima kasih kuliah online :),Positive
"kenapa ya aku lebih setuju kuliah online ya walaupun mungkin aku masuk kedalam minoritas. Ya emang tidak adil sih nilainya,  gampang  dapat nilai bagus. Tapi kalau malas kan bisa ke ortu langsung tanpa lewat vc,wa call ",Positive
" jangan memaksakan keadaan yg belum stabil begini, kalian yg pengen kuliah offline padahal cuma ingin memenuhi kebutuhan story bukan benaran belajar",Positive
kebanyakan dari kalian itu bukan rindu 'kuliah tatap muka'. kalian cuma rindu 'rutinitas normal'. Kuliah online atau tatap muka itu sama saja,Positive
Anak anak kampus lain pada senang banget kuliah online katanya lebih gampang.,Positive
"Bagi beberapa orang, kuliah online itu sedikit menyenangkan karena tidak perlu bertemu dengan orang-orang toksin di kampus. Apakah kalian juga?",Positive
"Semenjak kuliah online, hari sabtu dan minggu adalah hari yg menyenangkan:)",Positive
Kuliah online via WA grup adalah kuliah online paling menyenangkan,Positive
"SELAMAT PAGI, SEMOGA HARIMU MENYENANGKAN Kalau kamu hari ini kuliah/UTS online, melakukan semaksimal mungkin, ya! Tetap semangat, jaga kesehatan, dan jangan lupa bahagia!",Positive
mulai hari ini kampus aku diliburkan jadi kuliah nya melalui online learning demi keselamatan diri kita sendiri dan orang  di sekitar kita. ,Positive
Kita yang mahasiswa di buat sangat terbiasa akan adanya kuliah online UTS online semua online. Tetap di rumah buat aktivitas menyenangkan di rumah.,Positive
"Kuliah online tu menyenangkan , ayo lah semangat. Cuman dua menit dan tanpa tugas.",Positive
Mantap lah kuliah online yg menyenangkan,Positive
"terima kasih buat bapak/ibu dosen yang  paham dengan esensi kuliah online sehingga menghadirkan suasana yang menyenangkan dalam kuliah online ini. semoga dosen lain dapat meniru metode bapak/ibu semua. sehat selalu dosen2 ku, .",Positive
Kuliah Online dimulai !!!!!! Seru dan Menyenangkan.,Positive
"dengan adanya kuliah online aku bersyukur mental ku yg dulunya tidak karuan karena tak tahan di lingkungan tidak nyaman sekarang sudah mulai baikan :"")",Positive
"Dari kuliah online kita jadi bersyukur tak ada pembagian tugas yang cuma ""Print Laporan""",Positive
"aku sangat  bersyukur, berterima kasih sama keluarga aku, mama aku, kakak aku—mereka kalau aku kuliah online, lagi mengerjakan tugas tak pernah ganggu sama sekali malah aku di tawarin makanan",Positive
aku ketika berada di kampus kesepian :') makanya aku bersyukur bgt kuliah online ini ,Positive
aku bersyukur ada kuliah online,Positive
"Apa cuma aku yang berharap kuliah online terus, malas saja kuliah tatap muka lagi. bersyukur banget kkn online berharap sampai wisuda juga online, sudah nyaman dirumah tak berinteraksi dengan manusia.",Positive
"hikmah dibalik pandemi dan kuliah online adalah IPk yang bagus, bersyukur banget",Positive
"takut banget nanti kalau udah mulai kuliah offline, ketemu teman toksin jadi bersyukur ada kuliah online begini.",Positive
"Semangat kuliahnya teman  ku. Walaupun kuliah online, tetap bersyukur , jangan mengeluh.",Positive
"Bersyukur kita bisa kuliah,tugas,belajar serba online",Positive
"kuliah online saja sudah bersyukur banget. Ukt itu kewajiban kita,  kita mau pihak kampus balikin apa yang menjadi tanggung jawab kita cuman karena kita mencoba diselamatkan dengan kuliah daring ? .",Positive
"tim senang! harus bersyukur dan ambil sisi positifnya; bisa curhat, konsul, dan lain-lain sama keluarga.",Positive
"Kalian yang hari ini baru mulai kuliah online, Selamat pagi, semoga hari ini berjalan lancar. Semangat para pejuang kuota reguler",Positive
Bersyukur lah gue udah ada elearning sejak semestert dua sekarang kuliah online langsung jalan,Positive
Kuliah online juga ada positif nya. tidak menghabiskan bensin dan tak keluar uang banyak untuk makan dan jajan misalnya. Alhamdulillah,Positive
Bersyukur kampus jadi kuliah online jadi tak perlu keluar2:”)),Positive
"Kalian yang mengeluh tak mau kuliah online,  jangan bikin susah deh. Daripada kau kena corona, kampus kan tidak tanggung jawab.",Positive
"kok aku jadi bersyukur banget... kuliah online begini. kapanpun, dimanapun, sambil rebahan pula :)))",Positive
Bersyukur banget kuliah hari ini online saja…tak usah kluar pagi2 hujan an...cukup bermalasan saja di atas kasur...alhamdulillah :D,Positive
Untuk pertama kalinya aku bersyukur kampus aku ada sistem kuliah online. Bisa cari data teman kelas!.,Positive
"menurutku online saja sih paling baik, semua pihak juga susah kok, dari dosen susah dari pihak mahasiswanya juga susah, kalau misal tidak kuliah sayang umur :"") kerja dari rumah saja bisa",Positive
"Apalagi kalau kuliah online tidak perlu bayar kos, bayar bensin, bayar makan di kantin.",Positive
dapat ilmu atau tidak nya itu tergantung kamu. kalau kamunya selama kuliah online tiduran dan tidak perhatikan ya tidak bakal dapat ilmunya,Positive
Kuliah online emang menyenangkan bangetl. Ayo bisa,Positive
lebih enak kuliah online sambil rebahan.,Positive
"dengan adanya kuliah online aku bersyukur mental aku yg dulunya sudah tidak keruan karena tidak tahan di lingkungan yang tidak nyaman sekarang sudah mulai baikan :"")",Positive
Mungkin cuma aku  yg berharap kuliahnya online terus :D,Positive
"kenapa ya aku lebih nyaman kuliah online daripada offline. Soalnya aku bisa menyerap materi dan melatih ingatan, fokus benar2 fokus belajar sendirian dirumah, eksplorasi materi sendiri.",Positive
belajar online seru banget dong. Nyaman banget kuliah online.,Positive
Enak nya kuliah online apalagi mata kuliah teori  mau lagi di jalan sekalipun tetap bisa hadir  jadi nyaman kuliah online,Positive
"Udah Juli, serius? 
Benar2 di titik yang udah engga ada harapan buat semua balik ke ekspektasi awal. Kuliah semester depan sepertinya fix online, jadi masih ragu buat balik ke Bandung (padahal anak kontrakan udah mengajak akhir bulan ini atau awal bulan depan)",Negative
" Di negara maju aja kuliah kan masih offline gitu, masa disini mau permanen online  :(",Negative
"Doakan UAS ku lancar kawan- dan semoga nilai aku baik, kuliah online ini melelahkan ",Negative
Iya aku egois buat minta kalian stop  jalan kesana kemari keluar rumah selama covid karena aku muak kuliah online. Egois aku  suruh orang buat kepentingan aku sendiri,Negative
RT @kompasiana: Kuliah Online Layaknya Cerita Horror ,Negative
" Seharusnya kalau dosen merasa tidak sanggup memberi nilai bagus saat pandemi, lebih baik saat masa kuliah online sudah memberikan disclaimer terlebih dahulu sehingga ekspetasi dan harapan tidak tinggi. Mahasiswa jauh dapat menerima alasannya jika nilai nya turun",Negative
Mendingan kuliah offline bangsat dari pada online :(,Negative
"Aku rindu kuliah seperti biasa, menunggu kelas dengan tidur dan pesan makanan online, jalan- ke mall cuma buat cuci mata aja, gila bersama teman-teman  :)",Negative
RT @kompasiana: Kuliah Online Layak nya Cerita Horror ,Negative
kalau kuliah online engga asik.,Negative
"[cm] menurut kalian, bentuk ujian kuliah online kayak gini, yang efektif gimana? Kemaren di prodi aku di suruh tulis tangan terus di scan dan langsung kirim ke dosen dan yang telat engga bakal di koreksi, padahal proses scan nya juga butuh waktu :( jadi engga efektif ",Negative
Mampus lah nilai kalian kalau kuliah online jadi permanen ???? ,Negative
sangking rindu kuliah aku mimpi  engga ikut uas online ... coba bayangin.. ... udah panik di mimpi ketika bangun2 aku panik sedikit terus sadar,Negative
"Mungkin yang dibilang berkembang  kampus superior semacam ui, ugm dan itb,  yang swasta gimana?? 
Kuliah online engga efektif?? .
Tolong sebelum mengambil keputusan libatkan mahasiswa dan yang ngomong jangan cuma anak ui doang",Negative
"Semester depan online lagi,  saat ini kuliah secara online sangat berkembang, berkembang dari mana? Woy dosen di kampus aku yg mengajar kuliah online cuma satu orang doang, sisanya cuma ngasih ppt dan pdf dan aku harus bayar full semester ?? Udah gila ya?",Negative
help! engga kuat harus kuliah online sampai semester depan,Negative
"Ya, karena belum suka sama konsep kuliah online yang dipenuhi tugas?? meledak kepala kamu.",Negative
"tidak pernah punya ekspetasi bakalan dirumah saja selama setahun, dan kuliah online setahun :)  dirumah capek juga, kangen kuliah",Negative
" @gongcunim @collegemenfess benar, aku merasa kuliah online begini  gt  masyarakat tuh makin lama makin masa bodoh  yang ada malah meninggal karena stres",Negative
@collegemenfess Dini hari kuliah online. Semakin membuatku overthinking,Negative
"aku benci uas,apalagi uas online gini anjing babi bangsat",Negative
oh kuliah online bikin malas bayar semester??,Negative
" @jogmfs Lanjut lah, toh kuliah online bisa ditinggal tidur. ",Negative
"Disaat situasi ekonomi lagi tidak stabil gini, Bayaran kuliah Full, Kuota buat keperluan kuliah online beli sendiri, Lembar Jawaban ngeprint sendiri.
Lengkap  penderitaanmu dari Kampus ",Negative
"RT @cantikjelitaa: KULIAH ONLINE engga ENAK banget 
tidak SIAP POKOKNYA AKU tidak SIAPPP",Negative
Nilai aku turun anjing semenjak kuliah online,Negative
Apa cuma aku yang kuliah online malah banyak pengeluaran dibandingkan dengan kuliah tatap muka...,Negative
RT @intanorii: Kuliah online bukannya dapat ilmu malah dapat hikmahnya doang.,Negative
" @wimaleonnjujae kayak nya selagi peraturan kuliah masih tetap harus online, aku engga bisa tinggal di kos:( ribet mengurus ini itunya",Negative
 Kuliah online : otak tidak ada...  Duit pun tidak ada,Negative
RT @azmistuff: kuliah online satu setengah semester negatif covid positif bodoh,Negative
susah kalau kuliah online jadi malas rasanya,Negative
" Iya kak aku pakai telkomsel, soalnya kalau aku pakai tri trus ketika mati listrik, jaringan tri juga mati?? mana  lagi padat kuliah online, engga muncul di layar dosen auto alpa",Negative
 @abyyychh Aku pokok nya mau kuliah engga online. Capek kuliah online terus,Negative
" gila deh kalau begini cara kerjanya ""kuliah online""",Negative
aku kenapa malah beli sepatu ya? kan kuliah online terus bangsat,Negative
kalau sampe semester akhir masih kuliah online. fix bakal hampir setahun dirumah training jadi ibu rumah tangga. Lelah banget??,Negative
"Ujian Blok TERAKHIR DI SEMESTER INI ??????????
Lelah banget sudah empat blok di semester 6 ini, mana penuh drama kuliah online  ?????? ",Negative
"RT @firdia_rifa: @choco_a @collegemenfess Sama ???? mewakili sih ini , jujur selama kuliah online  ngawur semua ilmu yang aku daoat",Negative
kuliah online positif bodoh,Negative
"Selama kuliah online beberapa dosen ku cuma nyuruh absen tanpa ada materi, kadang tugas yang banyak dengan deadline engga pakai otak, spp tetap full tanpa potongan sama sekali tapi fasilitas dicut drastis. Gila banget. https://t.co/yazFv6mfG5",Negative
 @krnrzky_ susah kuliah online pakai zoom karena di rumah aku susah dapat sinyal. ,Negative
Tugas kuliah numpuk organisasi engga keurus capek banget kuliah sama ngurus organisasi online sialan,Negative
Udah kuliah online tapi tetap sering telat absen telat. Aduh jadi engga bisa fokus ,Negative
" @nbdycrnlv lagi kuliah online banyak tugas, pusing karena tugas",Negative
" Sosialisasi nya jadi terganggu. Kuliah online engga  cocok dengan semua kalangan, terlebih yg susah sinyal.",Negative
 @sintasnap Anak kesehatan pasti engga enak banget kuliah online ??,Negative
 @sbyfess Maaf pak aku tidak bisa kuliah online praktik online nya engga mengerti :(,Negative
"RT @jangandengerin: Corona pergilah, saya sudah muak dan bosan kuliah online.",Negative
Coba bayangkan kalau kita kuliah online terus. Bisa buat miskin karena beli alat praktikum ,Negative
" Kangen banget, kangen ketemu teman, lebih paham kalau offline belajarnya soalnya online berasa 24/7 tugasnya gila. Terlepas ada teman yg aneh atau gila, aku kuliah untuk mencari ilmu bukan bertemu teman aneh.",Negative
"Ketika kuliah online jadi bingung dan sedih karena susah dapat sinyal
",Negative
kuliah online dirumah membuat capek karena harus jalan ke pos ronda agar bisa dapat sinyal. Lagi susah sinyal,Negative
"kuliah online susah kalau mati lampu, ini yang kuliah online mengandalkan indihome langsung reconecting anjing??",Negative
"kalau jadi diterapkan, aku bisa2 jadi introvert dah?? engga enak banget kuliah online sumpah membuat gila",Negative
"Siapa sih yang bilang kuliah online itu nyaman, malah membuat kacau, nilai kecil, sedih, gila banget?",Negative
"[cm] apa yang di rasakan kalau di dalam kuliah online setelah kelompok presentasi, tapi engga ada yg bertanya padahal dosen disuruh bertanya ,sedih ??",Negative
"engga usah aneh anjing. kalau mau kuliah online, sistemnya harus ditekan yg benar.
engga lucu kan kalau aku mati karena sistem kuliah berubah jadi ""tugas online"" , makin bodoh juga iya. Kuliah online tidak efektif?? https://t.co/MkrC1XnCc2",Negative
"kuliah online semester depan  sama artinya tidak keluar rumah sampai akhir tahun. kalau misal ini corona belum kelar sampe akhir tahun, apakah aku akan berani ke mall sebelum tahun 2020 berakhir?",Negative
akibat kuliah online yang gila ini beberapa bulan kedepan sudah terasa dari sekarang:(,Negative
engga fokus diriku terbebani dengan kuliah online kintil (Kuliah Online Kintil) ,Negative
"kuliah online di rumah menjadi malas, sangking malasnya banyak kuliah yang lewat dan tugas yang di lewat. 
Entah berapa kecilnya nilaiku nanti...
Masa Bodoh  lah.",Negative
Kuliah online membuat jiwa menjadi gila dan tidak waras,Negative
"kasihan banget sama angkatan 2020 yang mau kuliah. sudah utbk susah harus rapid, mana ospeknya online pula.",Negative
"mampus dah, nasib nilai aku kuliah online bagaimana  ??",Negative
"Kuliah online yg membosankan,
engga bisa lihat anak stikes mondar mandir.",Negative
Mending ga usah sekalian kuliah kalau begini. 1 semester kuliah online ga paham sama sekali. :”),Negative
Ini serius belajar via online mau permanen?aku engga paham sumpah?? kuliah  cuma amal ke kampus gila??????????,Negative
" kuliah online tapi internet masih belum  mendukung, Kan sama aja sistemnya nanti turun lagi bikin pusing",Negative
" Kuliah online membuat miskin, galau, kacau, nilai kecil, tidak paham semua materi",Negative
" Kalau ini terjadi.. Mau berhenti aja kuliah, mending ikut les online, ikut pelatihan dan sertifikasi.. Ilmu nya lebih masuk bayaran lebih efisien, dari pada tetap bayar UKT full, tidak ada subsidi internet, dosen suka2 aneh mengajarkan.. !",Negative
"Anjing, kuliah online  nilainya semakin kecil, malah semakin bangsat.
Kuota habis, ilmu tidak dapat, tugas menumpuk, Begadang setiap hari tapi nilai seperti setan.",Negative
" @collegemenfess Yang di dapat selama kuliah online cuma: iya pak, iya buk, baik pak, baik bu:""",Negative
aduh stres kuliah online,Negative
"akhir2 ini sudah mulai merasa diri sendiri sudah kacau, mulai cemas, gelisah, marah,dsb krn di rumah terus. dan ternyata itu hal yang wajar terjadi sekarang, apalagi kuliah bakal terus online. akhirnya memutuskan untuk mulai rutin meditasi, yoga, dn dengarkan podcast yg inspiratif????",Negative
"Permasalahan kuliah online diantaranya : sinyal lemah, pulsa tinggal dikit, perangkat tidak mendukung .

Untuk itu harus ada alternatif https://t.co/rnPXYw0mJB",Negative
 @emelamel Iya mel:(( apa enaknya kuliah online? Tidak bisa lihat gebetan yang  lewat kan,Negative
"Kuliah online via Zoom, 
IPK kecil?yaudah di zoom saja biar besar!",Negative
"Kuliah online horror ya !!!

horor kenapa?

Iya, Dosennya tidak kelihatan 
Tapi tugasnya muncul terus !!",Negative
" kalau dosenya beneran mengajar pake video buat  menjelaskan materi si enak , lah ini aja sekarang kuliah cuma tugas tok. Bukan kuliah online tapi tugas online",Negative
"tidak terasa ya bulan ini udah UAS benar2 satu semester ini kuliah online, kangen kampus ????",Negative
